Gen	lnL	lnP	TL	Insertion	Deletion	
34200	-36058.6	-977.373	3.22538	0.20499	0.242779	
34300	-36057	-977.373	3.22538	0.20499	0.242779	
34400	-36071.6	-977.88	3.22538	0.20499	0.242779	
34500	-36071.4	-978.698	3.41025	0.201043	0.238105	
34600	-36074.9	-978.359	3.41025	0.201043	0.238105	
34700	-36109.6	-979.544	3.41025	0.201043	0.238105	
34800	-36122.4	-977.337	3.41025	0.190169	0.225225	
34900	-36111.1	-976.999	3.41025	0.190169	0.225225	
35000	-36134.8	-977.505	3.39322	0.190169	0.225225	
35100	-36141.7	-976.968	3.32253	0.190169	0.225225	
35200	-36125.8	-976.46	3.32253	0.190169	0.225225	
35300	-36114.4	-976.237	3.33408	0.190169	0.225225	
35400	-36123.2	-976.636	3.34015	0.190169	0.225225	
35500	-36131.5	-980.002	3.18681	0.201749	0.240549	
35600	-36134.3	-981.63	3.34955	0.201749	0.240549	
35700	-36136.2	-981.641	3.35064	0.201749	0.240549	
35800	-36140.9	-980.346	3.2212	0.201749	0.240549	
35900	-36106.9	-981.109	3.42064	0.201749	0.240549	
36000	-36095	-979.13	3.25792	0.201749	0.240549	
36100	-36086.7	-979.118	3.27424	0.201749	0.240549	
36200	-36059.9	-978.59	3.27424	0.201749	0.240549	
36300	-36082.1	-976.659	3.27424	0.187322	0.223348	
36400	-36072.6	-977.363	3.34473	0.187322	0.223348	
36500	-36075.3	-976.499	3.31103	0.187322	0.223348	
36600	-36064.2	-975.384	3.29445	0.184597	0.220099	
36700	-36054.2	-977.537	3.29445	0.19201	0.228937	
36800	-36061.7	-977.888	3.29445	0.19201	0.228937	
36900	-36076.6	-978.416	3.29445	0.19201	0.228937	
37000	-36079.7	-979.081	3.32573	0.19201	0.228937	
37100	-36072.8	-978.186	3.32573	0.189535	0.225987	
37200	-36066.4	-980.53	3.26965	0.20198	0.240824	
37300	-36081.5	-981.409	3.26965	0.20198	0.240824	
37400	-36066.5	-981.445	3.32605	0.20198	0.240824	
37500	-36044.7	-979.241	3.25192	0.197713	0.235738	
37600	-36044.7	-979.417	3.25192	0.197713	0.235738	
37700	-36047.3	-980.078	3.33558	0.197713	0.235738	
37800	-36052.7	-980.254	3.33558	0.197713	0.235738	
37900	-36069.7	-980.785	3.37116	0.197713	0.235738	
38000	-36067.8	-981.025	3.39511	0.197713	0.235738	
