Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
760	-6372.018	-6363.261	-8.756538	2.905523	0.111336	0.247237	0.171072	0.0645833	0.0695679	0.173002	0.283325	0.409372	0.379583	0.2394	0.0709806	0.0513478	0.257258	0.0816528	0.218134	0.283216	0.0517099	0.175062	0.381818	0.726159	1.08201	1.81001	3.33784
770	-6366.748	-6362.45	-4.297975	3.144477	0.178053	0.240599	0.117552	0.0454065	0.0955972	0.138863	0.19865	0.341548	0.338959	0.234691	0.0851891	0.0584731	0.156675	0.0891903	0.089015	0.252727	0.0960784	0.134718	0.400139	0.739226	1.08314	1.77749	2.891984
780	-6364.863	-6358.945	-5.91792	3.926946	0.137668	0.200096	0.177786	0.0564232	0.0879361	0.155395	0.252544	0.386358	0.305401	0.246328	0.107057	0.0593583	0.196534	0.0391065	0.156962	0.235412	0.0730883	0.180524	0.450303	0.772644	1.08441	1.69265	3.053979
790	-6368.698	-6362.546	-6.152249	7.488654	0.189381	0.227563	0.15891	0.0627467	0.115896	0.114944	0.264615	0.459002	0.270032	0.197901	0.0859245	0.0455012	0.170943	0.0543136	0.129537	0.292668	0.0783689	0.159165	0.58109	0.846545	1.07782	1.49455	3.077412
800	-6367.324	-6359.777	-7.546208	2.82647	0.176223	0.115449	0.159517	0.0664311	0.0962678	0.166524	0.314978	0.342714	0.397254	0.211033	0.0739711	0.0759789	0.287909	0.0915334	0.144408	0.290948	0.0693186	0.136349	0.375375	0.721444	1.08151	1.82167	3.216807
810	-6368.871	-6358.951	-9.919337	4.238053	0.186114	0.212688	0.192987	0.064673	0.154463	0.113897	0.249069	0.494252	0.422823	0.300527	0.060843	0.0754249	0.239277	0.0707869	0.103266	0.369733	0.0389689	0.104326	0.46698	0.783059	1.08429	1.66567	3.45412
820	-6372.511	-6364.808	-7.702852	2.60392	0.199603	0.152888	0.14557	0.0310163	0.163	0.0785225	0.267299	0.447842	0.467212	0.202503	0.13485	0.0664913	0.162366	0.0574996	0.147353	0.331343	0.0705526	0.10656	0.356093	0.706937	1.07972	1.85725	3.232472
830	-6370.259	-6361.57	-8.689428	3.252762	0.246172	0.282526	0.166843	0.0672855	0.140502	0.123834	0.322566	0.498148	0.404926	0.146114	0.0691375	0.0585187	0.233544	0.0463322	0.0973793	0.278365	0.0603498	0.0885871	0.407918	0.744628	1.08351	1.76395	3.331129
840	-6372.322	-6365.11	-7.21164	2.886551	0.235631	0.181211	0.179862	0.0729756	0.0835874	0.137678	0.274257	0.264148	0.364176	0.213077	0.0891061	0.108833	0.245746	0.106279	0.0627789	0.412176	0.0386076	0.113222	0.38029	0.725047	1.0819	1.81277	3.183351
850	-6366.409	-6358.314	-8.094552	4.155213	0.233518	0.132617	0.208402	0.0508782	0.131979	0.199362	0.258736	0.398431	0.357786	0.235868	0.13197	0.0821826	0.161916	0.0430113	0.116392	0.366581	0.0717305	0.0902807	0.462691	0.780411	1.08435	1.67255	3.271642
860	-6370.394	-6363.348	-7.046187	3.432859	0.2792	0.138582	0.190699	0.103569	0.10159	0.138924	0.220916	0.382499	0.301187	0.192106	0.070471	0.0919113	0.327551	0.081772	0.0968683	0.32446	0.0798818	0.0446163	0.420204	0.752989	1.08395	1.74285	3.166805
870	-6372.214	-6363.103	-9.111419	3.34561	0.272264	0.257136	0.21735	0.111705	0.0794004	0.178013	0.262456	0.296268	0.366242	0.277978	0.106858	0.0871088	0.212819	0.0424628	0.154232	0.353184	0.0439572	0.0538954	0.414349	0.74903	1.08376	1.75286	3.373329
880	-6368.941	-6361.078	-7.863148	4.504823	0.301964	0.170272	0.152355	0.0540129	0.150797	0.160526	0.215405	0.39118	0.410306	0.265494	0.0623153	0.0555064	0.171663	0.105172	0.11119	0.316963	0.119894	0.0334876	0.480113	0.791037	1.08404	1.64481	3.248501
